user,menu,rating
User3111,Food500,4.5
User805,Food853,1
User2331,Food256,0.5
User1474,Food780,4.5
User7186,Food272,3
User2089,Food370,0.5
User8085,Food924,0
User7437,Food316,3
User3450,Food455,1.5
User9783,Food913,3
User7509,Food1175,2.5
User2566,Food411,5
User9332,Food735,4.5
User3063,Food939,3.5
User1886,Food504,0
User9411,Food504,4
User4789,Food728,2.5
User5065,Food92,0.5
User3091,Food457,2.5
User4989,Food30,2
User1499,Food1078,4
User5956,Food627,1.5
User4230,Food86,2
User4397,Food845,1.5
User5505,Food1180,5
User7279,Food1030,2
User5890,Food289,3
User9041,Food71,2
User179,Food378,4
User6172,Food727,2
User9298,Food1122,2
User937,Food807,0
User7963,Food7,0.5
User527,Food229,2.5
User4115,Food207,0
User4067,Food43,5
User2914,Food861,4.5
User903,Food620,2
User272,Food771,2.5
User933,Food528,3.5
User9939,Food929,0.5
User2710,Food955,0.5
User6886,Food73,0.5
User3691,Food814,3.5
User8211,Food839,3.5
User1261,Food492,3.5
User5555,Food27,3
User367,Food841,0
User8207,Food405,0
User7125,Food835,5
User218,Food819,1.5
User6249,Food109,3
User2616,Food775,0.5
User9282,Food696,1
User3016,Food546,2.5
User3212,Food358,0.5
User9000,Food913,2.5
User9423,Food202,0
User9824,Food1076,2.5
User6054,Food903,5
User943,Food165,1.5
User4717,Food70,2
User8036,Food579,1.5
User8878,Food1126,4
User8066,Food676,0.5
User2675,Food40,3
User671,Food682,3
User1846,Food877,3
User4510,Food910,0
User1893,Food168,3.5
User6064,Food109,1
User6028,Food100,0
User7767,Food163,1
User2556,Food929,1
User1226,Food1097,3
User8941,Food274,3.5
User5102,Food1082,1.5
User4042,Food367,0
User771,Food381,1
User3267,Food249,4
User9830,Food168,5
User9084,Food753,4.5
User490,Food805,2
User5600,Food1097,1.5
User3443,Food977,5
User1235,Food1044,0.5
User411,Food169,4.5
User4448,Food187,1
User6164,Food836,0.5
User233,Food764,3.5
User9301,Food527,0
User5068,Food199,4.5
User6458,Food239,2.5
User911,Food730,2.5
User9972,Food509,2.5
User314,Food347,2
User8112,Food902,1.5
User1193,Food818,0.5
User6853,Food994,5
User3822,Food937,2
User1237,Food166,5
User1381,Food1098,2.5
User569,Food488,1.5
User394,Food70,1.5
User365,Food333,1.5
User7971,Food856,3.5
User4672,Food338,4.5
User5363,Food79,4.5
User7102,Food288,4
User5795,Food1109,3.5
User5072,Food506,3
User4934,Food251,3.5
User8220,Food834,1
User1367,Food498,3.5
User7941,Food40,3
User9660,Food709,1.5
User1927,Food906,3.5
User8287,Food1118,3.5
User9652,Food98,0
User6186,Food1034,5
User6265,Food6,2
User530,Food786,1.5
User361,Food348,0
User8764,Food513,0.5
User9963,Food676,4.5
User4554,Food764,3.5
User2022,Food299,5
User327,Food120,3.5
User1563,Food239,2
User5112,Food833,3
User8435,Food667,3.5
User2250,Food487,4.5
User153,Food719,0.5
User7944,Food1,3
User9291,Food902,1.5
User4955,Food935,2
User3378,Food130,2.5
User8101,Food780,4.5
User6403,Food141,2
User9239,Food1059,2.5
User3556,Food1068,1.5
User580,Food1113,1.5
User2493,Food1181,3
User7270,Food352,2
User5826,Food1167,1
User3952,Food33,3
User291,Food114,1.5
User2878,Food653,2
User5912,Food438,0.5
User7541,Food675,1.5
User5737,Food981,1
User8309,Food1164,5
User9650,Food1018,0.5
User3894,Food466,2.5
User3935,Food773,2
User3285,Food943,2.5
User712,Food589,1.5
User7724,Food1091,5
User1226,Food655,0
User7418,Food940,0
User8969,Food655,1
User4342,Food1005,4.5
User2431,Food715,3.5
User2582,Food249,1.5
User3042,Food41,3.5
User9293,Food598,2.5
User9136,Food858,0.5
User8861,Food696,2
User2218,Food27,0.5
User9404,Food308,4.5
User8776,Food799,1
User4699,Food821,3
User9315,Food526,1.5
User2448,Food519,4
User7422,Food268,1.5
User7624,Food1019,4.5
User4379,Food79,2.5
User629,Food627,2.5
User2982,Food340,2.5
User2092,Food136,2.5
User9346,Food457,3.5
User7536,Food540,5
User9772,Food1187,0
User9920,Food1179,0.5
User4155,Food65,3
User288,Food653,0
User161,Food658,3.5
User3182,Food300,4.5
User9265,Food524,1.5
User218,Food66,3.5
User5206,Food507,5
User242,Food36,1
User7679,Food857,2
User1892,Food649,1.5
User3413,Food1143,3
User9121,Food912,4
User4917,Food530,5
User880,Food195,2
User7828,Food253,5
User1806,Food585,1
User5586,Food935,0
User5573,Food520,5
User5768,Food71,3.5
User5815,Food231,0.5
User8218,Food1017,3.5
User6692,Food1161,0
User9692,Food593,1
User3737,Food204,2
User572,Food433,5
User3438,Food554,1.5
User5176,Food912,2
User7103,Food397,0.5
User2629,Food794,4.5
User6345,Food585,0.5
User7217,Food435,3.5
User4036,Food685,0.5
User4007,Food6,4.5
User1643,Food394,0
User2086,Food15,2
User827,Food349,0.5
User7480,Food185,3
User2806,Food683,2.5
User6764,Food203,1
User1154,Food1022,2
User8866,Food204,2.5
User4691,Food656,2.5
User1411,Food974,4.5
User4127,Food1061,4.5
User1702,Food40,5
User2665,Food560,2
User1319,Food194,0
User6856,Food1098,3
User45,Food11,3
User9793,Food636,2
User6149,Food555,2
User3931,Food583,2
User7620,Food211,0
User9944,Food471,1.5
User8983,Food21,4
User7566,Food151,1
User9231,Food52,3
User6747,Food324,4
User971,Food822,2
User5351,Food683,1.5
User5614,Food256,0
User850,Food945,1
User1144,Food1135,2
User6819,Food297,1
User4161,Food289,4.5
User1393,Food1182,2
User2521,Food315,0
User9296,Food948,4
User5351,Food552,0.5
User7118,Food782,0
User7849,Food1111,2
User6007,Food609,0.5
User8212,Food1026,4
User9553,Food1021,1
User3014,Food438,1
User9827,Food46,1
User5872,Food1196,1
User398,Food896,4.5
User4039,Food790,1
User1976,Food34,1
User6023,Food212,3
User5648,Food753,2.5
User1211,Food747,3.5
User2141,Food573,1
User7511,Food26,1.5
User747,Food305,4
User9436,Food244,4
User5797,Food1035,0
User3805,Food809,2.5
User5000,Food1060,2
User1809,Food141,3
User1760,Food1052,5
User4913,Food1003,3
User104,Food909,5
User9599,Food540,1
User553,Food77,1.5
User1001,Food1052,1.5
User5975,Food486,3.5
User7391,Food865,4.5
User1205,Food526,5
User3185,Food115,1.5
User4963,Food873,2
User6036,Food822,0.5
User2425,Food152,1
User5899,Food548,1.5
User606,Food710,4.5
User8669,Food116,0.5
User6670,Food1036,3
User945,Food283,4
User7163,Food879,5
User1357,Food1045,5
User4414,Food60,0.5
User5030,Food264,4.5
User5850,Food182,0.5
User4114,Food276,2
User9719,Food9,3
User554,Food1159,0
User7583,Food449,1.5
User459,Food894,3.5
User4443,Food600,3
User5357,Food774,2.5
User3201,Food729,2.5
User4945,Food553,2.5
User2851,Food942,0
User807,Food9,5
User8467,Food490,2.5
User475,Food352,4
User4491,Food986,2
User6504,Food933,2
User1626,Food97,1.5
User1794,Food173,3
User721,Food903,5
User3621,Food673,3
User2101,Food807,4
User4716,Food860,1
User8609,Food9,4.5
User9142,Food686,0.5
User9105,Food263,5
User626,Food295,0
User6168,Food898,1.5
User9494,Food183,1
User8182,Food129,0.5
User4846,Food878,2
User3929,Food567,4
User7954,Food398,2
User2801,Food525,2
User487,Food168,1
User9349,Food813,0.5
User7934,Food505,0
User7462,Food1153,2
User9759,Food902,2.5
User6548,Food1066,3
User1347,Food480,5
User548,Food432,5
User8781,Food1057,5
User4037,Food927,4
User2693,Food544,4
User5566,Food756,1.5
User7246,Food456,2
User611,Food653,5
User7057,Food931,4.5
User5450,Food671,4
User7499,Food1005,3
User5164,Food459,2
User654,Food62,1
User5242,Food1139,2.5
User9073,Food10,5
User7515,Food1079,4.5
User7148,Food1046,1
User1456,Food1159,2
User8181,Food591,4
User8747,Food556,3.5
User1831,Food541,2
User4490,Food161,1.5
User1937,Food577,0
User5240,Food488,2
User3223,Food275,5
User4655,Food130,4
User9223,Food197,0.5
User9866,Food612,3.5
User9566,Food546,1
User8669,Food1130,1.5
User7696,Food1129,1
User8045,Food1117,1
User2756,Food33,4
User4249,Food198,3.5
User1044,Food556,3.5
User4817,Food389,0.5
User1329,Food1083,0.5
User5512,Food136,0.5
User3972,Food1053,4
User7007,Food54,3.5
User7524,Food1092,1
User8953,Food375,3.5
User2540,Food1138,3
User9865,Food535,4
User9232,Food257,4.5
User8691,Food850,3.5
User8124,Food1059,2.5
User2869,Food523,1
User1565,Food199,2.5
User5271,Food4,5
User3808,Food937,1.5
User9800,Food1141,0
User3979,Food247,1.5
User1882,Food986,1.5
User8446,Food23,5
User4516,Food833,1.5
User2461,Food120,1
User5683,Food196,1
User163,Food160,2
User9703,Food256,4
User7719,Food185,0.5
User4875,Food9,1
User5179,Food882,4
User4295,Food994,0
User9532,Food1190,5
User1156,Food315,2
User8770,Food813,1.5
User4299,Food409,5
User6697,Food561,5
User3911,Food603,3
User2230,Food436,4
User5430,Food619,1.5
User9099,Food849,3.5
User5249,Food739,0
User8241,Food767,4
User7280,Food334,3
User6393,Food846,4.5
User3775,Food1027,1
User6850,Food1185,2.5
User8378,Food1141,0
User1393,Food867,3.5
User2971,Food700,5
User3916,Food293,1.5
User1955,Food493,3.5
User8960,Food1099,2
User3004,Food1146,2
User2149,Food1197,3.5
User9651,Food641,1.5
User5466,Food966,4.5
User2297,Food328,1.5
User8416,Food436,4
User3734,Food454,5
User3824,Food1106,4.5
User3532,Food435,2.5
User7616,Food476,3.5
User102,Food787,4.5
User8188,Food244,4
User6114,Food771,3
User508,Food834,4.5
User2480,Food18,1.5
User7287,Food499,2.5
User6757,Food668,4
User3270,Food485,4
User8161,Food146,2
User3564,Food500,4
User9322,Food193,3
User8502,Food916,4
User4702,Food1138,4
User2034,Food552,0.5
User2252,Food640,2
User9808,Food820,3.5
User5619,Food841,4
User4558,Food1043,3
User6105,Food843,2.5
User4748,Food863,3.5
User3205,Food736,0
User8170,Food147,1.5
User3803,Food299,1
User8971,Food915,3.5
User6608,Food902,1
User6554,Food1181,2
User7007,Food696,0.5
User6682,Food830,3
User6376,Food314,0.5
User3124,Food640,2
User8471,Food699,5
User3001,Food353,4.5
User1070,Food964,4
User7106,Food1138,3.5
User9901,Food147,3.5
User8737,Food158,0
User7373,Food103,1
User4931,Food225,1.5
User8987,Food820,3.5
User7069,Food1137,4
User9725,Food933,3
User8573,Food938,4.5
User9838,Food749,3.5
User5008,Food730,2.5
User4657,Food828,4.5
User1071,Food1183,1
User2809,Food164,4.5
User7758,Food648,2
User3517,Food664,2.5
User8890,Food549,1
User6062,Food44,0
User3032,Food766,0.5
User5459,Food789,2
User3303,Food170,0
User2627,Food977,5
User5895,Food342,0.5
User603,Food219,1.5
User1519,Food999,4
User7788,Food846,3
User7668,Food32,2
User1907,Food1041,3.5
User9303,Food232,4
User8252,Food449,3.5
User7758,Food1055,1.5
User7572,Food82,4
User518,Food1191,0.5
User1951,Food267,0
User2374,Food790,4.5
User6564,Food206,1
User1160,Food670,1
User333,Food263,0.5
User6311,Food762,0.5
User1101,Food277,4
User8296,Food812,0.5
User9974,Food953,3
User3501,Food1020,0.5
User4418,Food282,3
User8264,Food460,1
User2075,Food766,0.5
User186,Food401,3
User3200,Food559,0
User9318,Food221,4
User5724,Food361,0.5
User9420,Food303,0.5
User4044,Food984,2.5
User4153,Food118,3.5
User5385,Food363,4.5
User5777,Food165,2
User8235,Food532,3
User9458,Food770,0
User3503,Food606,1
User5381,Food1081,4.5
User808,Food170,5
User4841,Food675,2
User9148,Food82,1.5
User9013,Food943,3
User5065,Food822,3
User8546,Food1111,4.5
User5637,Food829,4
User3016,Food1153,1
User4737,Food472,0
User1838,Food568,0
User1497,Food58,1.5
User3426,Food380,3.5
User501,Food687,2.5
User3440,Food529,5
User8094,Food122,5
User2321,Food1120,0
User3747,Food1095,1
User7452,Food313,1
User5509,Food1032,1.5
User2395,Food931,1.5
User1686,Food49,1.5
User7122,Food259,1.5
User7279,Food632,2
User9920,Food361,0
User5248,Food67,3
User7232,Food257,1
User5495,Food424,4.5
User7345,Food723,2.5
User3228,Food410,1
User3491,Food1117,1
User6487,Food1149,3.5
User5864,Food191,5
User9543,Food97,2
User7960,Food487,5
User5221,Food921,1.5
User17,Food370,2.5
User5241,Food362,1
User482,Food695,2.5
User4929,Food774,5
User8356,Food44,5
User6319,Food917,0
User2721,Food988,4.5
User5249,Food205,1.5
User6829,Food461,2.5
User9884,Food708,4
User3221,Food1083,3.5
User6479,Food1167,2.5
User7185,Food236,2.5
User4508,Food181,4
User6189,Food322,4.5
User6566,Food907,1
User8181,Food449,3.5
User7366,Food1179,1
User521,Food682,0.5
User2179,Food502,0.5
User9610,Food269,3.5
User8344,Food89,0.5
User8765,Food938,0
User1472,Food349,1.5
User2821,Food722,1.5
User9550,Food1169,2.5
User7262,Food522,3
User1441,Food184,4
User4566,Food628,5
User5857,Food240,0.5
User3420,Food29,4
User2246,Food398,1.5
User8785,Food3,2
User1207,Food790,1
User7753,Food693,0.5
User3961,Food369,5
User1919,Food529,0.5
User6731,Food191,4.5
User7977,Food387,1
User5935,Food150,1
User6817,Food250,4
User1097,Food694,4.5
User2685,Food469,5
User7268,Food199,0
User6317,Food632,1
User8200,Food666,1.5
User6651,Food1172,0.5
User1670,Food20,3
User724,Food779,4
User2765,Food458,2
User8191,Food230,2
User4278,Food713,2
User3748,Food821,0.5
User6641,Food245,0
User5654,Food151,3
User1472,Food423,0
User208,Food1152,0
User9205,Food1066,1
User5207,Food1144,2.5
User2979,Food953,1
User8867,Food1131,0.5
User7428,Food3,0.5
User726,Food75,4
User8984,Food59,4
User4966,Food1000,1
User5530,Food814,0
User3050,Food573,1
User115,Food723,2
User7311,Food833,0.5
User3049,Food284,2
User9919,Food732,4
User853,Food792,3
User2026,Food897,1.5
User9674,Food496,3.5
User3624,Food241,0.5
User3042,Food1146,1
User4849,Food286,2.5
User8320,Food600,3
User1169,Food345,0
User8816,Food137,4
User4711,Food524,0.5
User7904,Food852,2
User7698,Food835,0
User3740,Food1018,3.5
User8008,Food637,2.5
User9088,Food1133,4.5
User3499,Food718,1
User670,Food761,3.5
User788,Food287,1.5
User1234,Food243,4
User6025,Food1149,0
User2623,Food551,4
User8276,Food1016,3
User375,Food942,0.5
User2830,Food506,5
User4191,Food415,0
User1819,Food96,1.5
User4433,Food716,1
User709,Food53,1.5
User8918,Food949,5
User1828,Food901,4
User369,Food14,1
User168,Food394,0
User7350,Food1155,4
User3385,Food1021,2
User1449,Food605,0
User454,Food627,0
User1536,Food693,0.5
User6830,Food105,0
User2232,Food1172,1
User467,Food527,1.5
User5592,Food1084,5
User9196,Food240,1.5
User7595,Food106,4
User7788,Food550,4
User6581,Food284,5
User1463,Food868,0.5
User8550,Food748,0
User4243,Food870,1.5
User2429,Food1174,0.5
User4956,Food349,1.5
User5237,Food768,1.5
User6350,Food584,3.5
User9686,Food736,2.5
User9083,Food750,4
User119,Food854,0
User1600,Food880,2.5
User9151,Food959,1
User3297,Food33,0
User2910,Food312,1.5
User1157,Food721,1.5
User9806,Food1023,0
User2431,Food994,0
User1762,Food522,0.5
User4104,Food639,4
User5723,Food478,0
User9582,Food199,0
User6773,Food881,5
User5202,Food967,1.5
User3740,Food1054,4.5
User756,Food1054,4.5
User1272,Food737,4.5
User478,Food335,1.5
User7823,Food645,2
User7562,Food379,3.5
User243,Food933,5
User3266,Food106,0
User4645,Food541,0
User8794,Food157,0.5
User7718,Food1079,2.5
User9571,Food245,3
User746,Food392,1
User2279,Food432,2.5
User8129,Food861,3
User3890,Food1073,3.5
User2959,Food895,2.5
User1904,Food426,3
User9947,Food711,1.5
User7007,Food854,4.5
User9733,Food276,1.5
User5561,Food28,4.5
User3052,Food1050,1
User8117,Food339,0
User1516,Food929,2.5
User6338,Food1040,2.5
User7120,Food1136,2
User500,Food432,0
User4560,Food802,2.5
User8927,Food239,2.5
User9347,Food570,2
User7442,Food856,4.5
User1139,Food90,0.5
User7643,Food231,5
User8435,Food369,3.5
User3847,Food109,3.5
User6762,Food944,4
User4153,Food748,5
User5927,Food416,1.5
User9888,Food425,4
User3464,Food988,0
User3707,Food190,1
User9601,Food660,3.5
User1913,Food328,5
User1203,Food837,3
User647,Food909,2
User3710,Food494,4
User5426,Food1037,1
User6236,Food281,1
User3846,Food721,5
User8332,Food69,3.5
User3747,Food1076,2.5
User7803,Food831,4.5
User1560,Food1031,3
User6699,Food789,4.5
User542,Food888,2
User955,Food94,4.5
User8366,Food1041,1
User5754,Food446,2
User9910,Food972,1
User3099,Food524,3
User3695,Food304,2.5
User854,Food97,1
User6773,Food317,5
User4593,Food228,3
User2354,Food412,2.5
User7234,Food515,4.5
User7811,Food340,4
User2335,Food80,3.5
User3143,Food1026,2.5
User5459,Food384,0.5
User1254,Food1048,4
User3124,Food341,4
User9363,Food906,5
User6633,Food482,2.5
User4505,Food967,5
User3056,Food489,2.5
User3556,Food661,1
User3527,Food333,3
User3616,Food632,2.5
User7063,Food322,4
User4113,Food235,4.5
User1073,Food964,0
User9006,Food765,2
User1628,Food161,1
User8779,Food1191,4.5
User5656,Food491,1
User8954,Food141,3.5
User627,Food310,2
User6608,Food112,2
User772,Food500,5
User4400,Food745,3.5
User9502,Food881,4.5
User591,Food578,0
User8230,Food748,1
User2801,Food921,2
User2697,Food119,3
User5840,Food556,3.5
User3144,Food530,0.5
User2252,Food148,4.5
User3310,Food932,1.5
User7032,Food138,4
User2984,Food386,4
User9930,Food88,1.5
User2673,Food985,2.5
User6795,Food1107,2.5
User437,Food230,1
User6345,Food343,4
User2234,Food782,5
User7137,Food1009,4.5
User9339,Food1024,5
User6304,Food763,5
User1947,Food701,1.5
User1792,Food890,1
User8364,Food760,1.5
User748,Food86,0
User2015,Food18,1
User9807,Food334,3
User1134,Food1101,2
User7076,Food349,1.5
User3702,Food788,2
User4318,Food464,2
User4314,Food1017,1.5
User3072,Food1049,3.5
User9829,Food440,2
User9491,Food141,2.5
User4767,Food288,1.5
User9586,Food924,4.5
User6415,Food488,4
User9794,Food1050,2
User3733,Food628,1
User6700,Food986,2.5
User9166,Food774,0
User1129,Food378,4.5
User1984,Food875,3.5
User3507,Food834,3
User9151,Food57,5
User4024,Food359,0
User8520,Food1197,2
User3,Food898,4.5
User8371,Food819,5
User3557,Food767,2
User1095,Food122,2.5
User4137,Food974,4
User4392,Food1034,5
User4428,Food1114,2.5
User3973,Food682,0.5
User3439,Food785,1
User1649,Food875,3.5
User24,Food1116,1
User2154,Food253,0.5
User3104,Food336,3.5
User5185,Food78,1.5
User2886,Food985,3
User3496,Food804,4
User5265,Food353,2
User4259,Food459,0.5
User1108,Food276,4
User44,Food396,5
User7752,Food420,5
User9155,Food606,2
User9533,Food374,3
User3692,Food924,5
User8982,Food1069,1.5
User6983,Food688,4.5
User3042,Food174,4.5
User5872,Food1158,2
User2688,Food969,1.5
User1355,Food3,4
User5764,Food1108,2.5
User4060,Food495,1.5
User1040,Food1141,1.5
User1439,Food544,3.5
User3333,Food309,3
User2801,Food798,2.5
User475,Food816,4.5
User5129,Food581,0
User7698,Food951,4
User3604,Food46,1.5
User7619,Food225,4
User3806,Food606,1.5
User8447,Food816,1
User1102,Food619,5
User8681,Food114,3
User4015,Food920,0.5
User3421,Food100,1.5
User2468,Food1080,4
User6985,Food725,1
User8131,Food786,4.5
User1343,Food421,1
User9605,Food639,4.5
User757,Food169,4
User9307,Food986,4.5
User2396,Food225,5
User3136,Food507,3.5
User235,Food386,3.5
User7323,Food19,0
User9822,Food1135,0.5
User2152,Food533,2.5
User9798,Food540,3.5
User1618,Food594,1.5
User9578,Food1023,3
User6079,Food1195,4.5
User2447,Food11,3
User1136,Food228,2
User1978,Food276,0.5
User3753,Food344,4.5
User5213,Food501,2
User7712,Food938,0.5
User5934,Food520,4.5
User1081,Food479,4.5
User9596,Food118,5
User4659,Food409,1.5
User184,Food660,0.5
User7905,Food853,1.5
User6867,Food688,0
User983,Food956,1.5
User5620,Food314,0
User3419,Food450,3
User4950,Food1016,4
User4936,Food178,5
User280,Food627,2.5
User7375,Food1079,0.5
User2695,Food829,0
User7056,Food676,2
User3208,Food905,3.5
User8697,Food924,3.5
User5962,Food31,0
User189,Food626,3
User7894,Food1052,1
User4122,Food554,4.5
User5629,Food321,2.5
User8244,Food39,3.5
User352,Food1095,3.5
User1741,Food474,3.5
User719,Food964,4.5
User2383,Food442,5
User2806,Food756,1
User9215,Food1122,2
User2688,Food365,1.5
User9730,Food1000,0
User545,Food180,0
User9483,Food267,4
User1809,Food856,4
User10,Food806,4.5
User7672,Food1085,3
User1637,Food190,1.5
User9724,Food343,0.5
User3748,Food314,3
User9893,Food961,4.5
User2975,Food724,4
User321,Food1009,4
User6451,Food1034,0.5
User79,Food695,3
User9200,Food80,3
User494,Food408,1.5
User388,Food69,0.5
User2909,Food541,2
User2791,Food266,2.5
User5920,Food679,5
User1149,Food345,0.5
User1566,Food1128,4.5
User9265,Food277,0.5
User6151,Food1014,5
User8127,Food458,3
User352,Food399,2.5
User6195,Food205,4.5
User9738,Food683,1
User1830,Food578,0
User4173,Food972,0
User4176,Food695,4
User7384,Food720,3.5
User1959,Food777,3.5
User8260,Food289,2
User7074,Food698,2
User276,Food987,1
User9718,Food1156,1
User5905,Food160,5
User7176,Food656,5
User4690,Food1144,1.5
User5933,Food471,2.5
User9386,Food481,0
User781,Food610,4
User9955,Food540,3.5
User4669,Food661,0.5
User8481,Food53,2.5
User2493,Food706,1.5
User3008,Food650,0
User5732,Food391,1.5
User1077,Food690,5
User3774,Food1055,0
User7138,Food245,5
User6020,Food864,0.5
User548,Food1030,1
User8485,Food925,4.5
User6521,Food478,1
User3202,Food442,2
User40,Food1111,1.5
User9553,Food1094,3.5
User575,Food585,1.5
User827,Food196,2
User1438,Food1033,5
User9868,Food913,1
User5365,Food709,5
User5264,Food879,3.5
User8706,Food400,3.5
User6492,Food1019,4.5
User886,Food506,1
User5549,Food470,3.5
User5340,Food872,4
User5133,Food1123,0.5
User3562,Food386,5
User2295,Food248,0
User2782,Food542,4.5
User2322,Food888,2.5
User285,Food299,1
User8587,Food889,2
User8095,Food297,0
User6790,Food467,1
User790,Food902,3.5
User1974,Food198,2.5
User9503,Food562,3
User1557,Food443,4
User3878,Food265,2
User8329,Food961,2.5
User1827,Food1048,3.5
User6549,Food893,4
User9816,Food749,0.5
User5785,Food146,2
User3753,Food607,3.5
User8043,Food779,3
User4601,Food232,1.5
User6364,Food229,3.5
User9972,Food74,0.5
User3668,Food972,0
User1339,Food833,0
User1789,Food1030,1.5
User8505,Food1157,4
User3112,Food785,2
User3940,Food624,4.5
User8145,Food1133,4
User7379,Food1187,0.5
User8724,Food447,2
User1403,Food1130,1.5
User8160,Food983,3.5
User3208,Food5,3.5
User5076,Food778,2.5
User8210,Food878,0
User2373,Food480,1.5
User4922,Food739,3.5
User1213,Food50,4
User6235,Food132,5
User5300,Food156,0.5
User2903,Food623,4.5
User3645,Food119,2
User8106,Food1072,4
User7574,Food433,0.5
User4001,Food85,3
User8285,Food683,4.5
User2361,Food704,4.5
User5522,Food817,1
User4125,Food129,0.5
User3184,Food1187,4
User7422,Food894,5
User3574,Food596,4
User8924,Food202,4.5
User4355,Food493,0
User8127,Food555,0
User7162,Food806,0
User9644,Food560,3.5
User7149,Food420,5
User6773,Food1019,2.5
User4549,Food303,1
User7256,Food946,0.5
User4785,Food225,0
User9369,Food17,2.5
User2073,Food1056,4
User1165,Food225,1
User7132,Food391,5
User1094,Food819,3.5
User8562,Food1062,5
User8265,Food992,5
User5306,Food983,3
User6767,Food826,4.5
User8201,Food374,1
User4249,Food280,0.5
User1043,Food66,0
User562,Food556,3
User6982,Food891,1.5
User1552,Food991,0.5
User618,Food234,3.5
User9752,Food180,1.5
User222,Food634,2.5
User1032,Food645,2
User2558,Food1130,4
User6322,Food317,4
User9268,Food63,4.5
User5320,Food701,0
User8410,Food298,5
User2258,Food568,2.5
User288,Food1087,0.5
User6300,Food58,0
User6375,Food138,3.5
User5830,Food673,3.5
User7425,Food1084,0.5
User3425,Food807,2
User2901,Food619,0.5
User7741,Food483,5
User3308,Food810,2.5
User8674,Food833,2.5
User3938,Food521,4
User5942,Food421,4
User3397,Food979,2
User3576,Food601,3
User9828,Food434,1.5
User2645,Food564,4.5
User3622,Food666,1
User5933,Food631,0.5
User407,Food788,1
User3300,Food277,1.5
User886,Food394,3
User2071,Food934,5
User9128,Food1170,2
User447,Food92,4.5
User2425,Food75,3.5
User6901,Food116,4
User9052,Food612,1
User7172,Food46,3.5
User4388,Food162,1
User8071,Food872,1
User8232,Food306,3.5
User727,Food732,1
User1050,Food1185,2.5
User6862,Food879,4.5
User7612,Food1079,1
User9487,Food161,1
User7339,Food594,4
User4102,Food857,4.5
User2947,Food181,1.5
User8724,Food254,0.5
User3120,Food603,5
User4368,Food269,2.5
